seq_len,head_dim,num_heads,batch_size,block_size,standard_latency_avg,standard_latency_min,standard_latency_max,standard_peak_mb,standard_qk_mb,standard_softmax_mb,flash_latency_avg,flash_latency_min,flash_latency_max,flash_peak_mb,flash_saved_mb,flash_saved_pct,flash_num_tiles_q,flash_num_tiles_k,flash_num_tiles_total,max_diff,correct,speedup
64,128,8,1,64,0.00036838759988313543,0.0003313689958304167,0.0004643619977287017,1.25,0.125,0.125,0.0005989255994791165,0.0004483720040298067,0.0008466379949823022,1.50390625,-0.25390625,-20.3125,1,1,1,4.172325134277344e-07,True,0.6150807382478238
128,128,8,1,64,0.0014521160002914258,0.0011410279985284433,0.0020829040004173294,3.0,0.5,0.5,0.0023665477958275003,0.0020198269994580187,0.002550825993239414,2.5078125,0.4921875,16.40625,2,2,4,6.556510925292969e-07,True,0.6136009603742952
256,128,8,1,64,0.03351789800071856,0.02373791999707464,0.04459454100287985,8.0,2.0,2.0,0.010753159598971251,0.008985920001578052,0.013481729001796339,4.515625,3.484375,43.5546875,4,4,16,7.450580596923828e-07,True,3.1170278551361963
512,128,8,1,64,0.052350592998845966,0.03471426700707525,0.06838692299788818,24.0,8.0,8.0,0.024524163198657335,0.023565386996779125,0.025527986996166874,8.53125,15.46875,64.453125,8,8,64,5.066394805908203e-07,True,2.134653589391873
1024,128,8,1,64,0.16354554779827596,0.13339307299611391,0.1901760219989228,80.0,32.0,32.0,0.10579803560249275,0.10041739200096345,0.11817906800570199,16.5625,63.4375,79.296875,16,16,256,3.2782554626464844e-07,True,1.545827830043591
2048,128,8,1,64,0.3506825188000221,0.29433767199952854,0.43395292299828725,288.0,128.0,128.0,0.4048932921999949,0.39638301500235684,0.4149319819989614,32.625,255.375,88.671875,32,32,1024,3.8743019104003906e-07,True,0.8661109619637866
