backend,total_requests,total_tokens,total_time,ttft,tpot,latency,throughput,gpu_occupancy,gpu_busy_time,gpu_idle_time,peak_memory,avg_memory,peak_batch_size,avg_batch_size,tokens_per_second,admission_rate,total_steps,kv_memory_utilization,kv_peak_shared_blocks,kv_prefix_cache_hits,kv_prefix_cache_hit_rate,prefix_sharing
pytorch,40,4861,3.638277769088745,"{'avg': 3.1996733427047728, 'p50': 3.1996684074401855, 'p95': 3.199737787246704, 'p99': 3.199738368988037}","{'avg': 0.01641976285525363, 'p50': 0.016673896993909563, 'p95': 0.019777200486924912, 'p99': 0.01988228744930691}","{'avg': 3.5381854236125947, 'p50': 3.5580852031707764, 'p95': 3.6373047709465025, 'p99': 3.6396968030929564}",1336.0717098896773,0.9999937090609771,3.6382548809051514,2.288818359375e-05,4901,2760.3658536585367,40,23.0,1336.0717098896773,1.0,41,0.0,0,0,0.0,OFF
pytorch,40,4861,3.6378462314605713,"{'avg': 3.1991656601428984, 'p50': 3.1991740465164185, 'p95': 3.199181115627289, 'p99': 3.1991817951202393}","{'avg': 0.016437014224458243, 'p50': 0.016692889459205395, 'p95': 0.01981433179643419, 'p99': 0.019910747475094262}","{'avg': 3.537915790081024, 'p50': 3.5579901933670044, 'p95': 3.6368856787681576, 'p99': 3.6393065881729125}",1336.2302007054159,0.9999918732398437,3.6378166675567627,2.956390380859375e-05,4901,2760.3658536585367,40,23.0,1336.2302007054159,1.0,41,0.0,3,19,0.475,ON
