step_count,total_requests,total_tokens_generated,avg_ttft,p50_ttft,p95_ttft,p99_ttft,median_ttft,avg_tpot,p50_tpot,p95_tpot,p99_tpot,median_tpot,avg_latency,p50_latency,p95_latency,p99_latency,median_latency,throughput,gpu_occupancy,gpu_busy_time,gpu_idle_time,tokens_per_second,peak_memory,avg_memory,avg_batch_size,peak_batch_size,admission_rate,avg_queue_length,kv_memory_utilization,kv_shared_blocks,kv_peak_shared_blocks,budget_label,budget_tokens
51,30,911,0.6251438379287719,0.6310502290725708,1.2101353526115417,1.2482668018341065,0.6310502290725708,0.04190486807746467,0.03011294871757701,0.10007542371749872,0.12794753100655298,0.03011294871757701,1.5909881114959716,1.6160722970962524,1.7115684509277345,1.7131093168258666,1.6160722970962524,531.5271400096345,0.9999896396589376,1.702916145324707,1.7642974853515625e-05,1431.059749206944,2467,1578.5294117647059,17.862745098039216,30,1.0,0.0,0.0,0,0,4K,4000
51,30,911,0.6250569979349773,0.6309267282485962,1.2100150346755982,1.2481232452392579,0.6309267282485962,0.04186789688597192,0.0300968199905331,0.09999018907546992,0.12785850340669808,0.0300968199905331,1.5900893370310465,1.6147459745407104,1.710927629470825,1.7124961781501769,1.6147459745407104,531.6859341156603,0.9999879500785767,1.7015671730041504,2.0503997802734375e-05,1432.191848200134,2467,1578.5294117647059,17.862745098039216,30,1.0,0.0,0.0,0,0,8K,8000
51,30,911,0.625342853864034,0.6312998533248901,1.210298240184784,1.248385090827942,0.6312998533248901,0.04188120015984471,0.03011167282533948,0.09998079538345332,0.1278608673485843,0.03011167282533948,1.5908574104309081,1.615912914276123,1.71174658536911,1.7133773827552796,1.615912914276123,531.4093815391608,0.9999861327970975,1.7020816802978516,2.3603439331054688e-05,1431.7563215885596,2467,1578.5294117647059,17.862745098039216,30,1.0,0.0,0.0,0,0,16K,16000
51,30,911,0.6252121448516845,0.6312241554260254,1.210110533237457,1.2482140612602235,0.6312241554260254,0.041953583880616846,0.030162640908303777,0.10014712810516352,0.1280238758000461,0.030162640908303777,1.592421817779541,1.6170382499694824,1.7140780806541445,1.7158681774139404,1.6170382499694824,530.6227827189945,0.9999808224508908,1.7031748294830322,3.266334533691406e-05,1430.8297786742855,2467,1578.5294117647059,17.862745098039216,30,1.0,0.0,0.0,0,0,24K,24000
