backend,total_requests,total_tokens,total_time,ttft,tpot,latency,throughput,gpu_occupancy,gpu_busy_time,gpu_idle_time,peak_memory,avg_memory,peak_batch_size,avg_batch_size,tokens_per_second,admission_rate,total_steps,kv_memory_utilization,kv_peak_shared_blocks,kv_prefix_cache_hits,kv_prefix_cache_hit_rate,policy
pytorch,30,1915,1.377594232559204,"{'avg': 1.103947885831197, 'p50': 1.1039444208145142, 'p95': 1.1039695143699646, 'p99': 1.1039732670783997}","{'avg': 0.012724160788066128, 'p50': 0.013209041427163518, 'p95': 0.0149487042427063, 'p99': 0.014988839387893678}","{'avg': 1.324390188852946, 'p50': 1.3284685611724854, 'p95': 1.3778711915016175, 'p99': 1.3787679600715639}",1390.1045422079321,0.9999852891520996,1.3775739669799805,2.0265579223632812e-05,1945,1249.4193548387098,30,19.233333333333334,1390.1045422079321,1.0,31,0.0,0,0,0.0,MemoryBudget_4K
pytorch,30,1915,1.378603219985962,"{'avg': 1.1039329449335733, 'p50': 1.1039340496063232, 'p95': 1.1039491295814514, 'p99': 1.1039548015594483}","{'avg': 0.012778354489240374, 'p50': 0.013260715148028205, 'p95': 0.0150369393825531, 'p99': 0.015052506314383613}","{'avg': 1.3252607901891074, 'p50': 1.3293416500091553, 'p95': 1.3787800192832949, 'p99': 1.3796550798416138}",1389.087137065805,0.9999811493076867,1.3785772323608398,2.5987625122070312e-05,1945,1249.4193548387098,30,19.233333333333334,1389.087137065805,1.0,31,0.0,0,0,0.0,MemoryBudget_8K
pytorch,30,1915,1.380143642425537,"{'avg': 0.7352762778600057, 'p50': 0.5119916200637817, 'p95': 1.2892505526542664, 'p99': 1.3084366273880006}","{'avg': 0.02193663337189801, 'p50': 0.023726435808035046, 'p95': 0.03375366926193237, 'p99': 0.03456876325097314}","{'avg': 1.1402190446853637, 'p50': 1.309560775756836, 'p95': 1.3788397789001463, 'p99': 1.3813550186157226}",1387.5367325059572,0.9999725328922934,1.38010573387146,3.790855407714844e-05,0,0.0,16,10.49090909090909,1387.5367325059572,0.5172413793103449,56,0.0,0,0,0.0,MaxSeq_16
pytorch,30,1915,1.3778157234191895,"{'avg': 1.1040245374043782, 'p50': 1.1040292978286743, 'p95': 1.1040318012237549, 'p99': 1.104031970500946}","{'avg': 0.012727961559953475, 'p50': 0.013213732663322897, 'p95': 0.014966237545013427, 'p99': 0.015001038365893895}","{'avg': 1.3244946082433064, 'p50': 1.3286415338516235, 'p95': 1.3778809785842896, 'p99': 1.3787981486320495}",1389.8810758580496,0.9999849454349887,1.3777949810028076,2.0742416381835938e-05,0,0.0,30,19.233333333333334,1389.8810758580496,1.0,31,0.0,0,0,0.0,MaxSeq_32
pytorch,30,1915,1.3825485706329346,"{'avg': 0.7360246737798055, 'p50': 0.5117464065551758, 'p95': 1.2917536616325378, 'p99': 1.3110237765312196}","{'avg': 0.022025155208453665, 'p50': 0.023828135086939886, 'p95': 0.0338408613204956, 'p99': 0.034644398893264525}","{'avg': 1.1424951473871867, 'p50': 1.312204360961914, 'p95': 1.3813286066055297, 'p99': 1.3838370394706727}",1385.1231274452134,0.9999844796251105,1.3825271129608154,2.1457672119140625e-05,0,0.0,16,10.49090909090909,1385.1231274452134,0.5172413793103449,56,0.0,0,0,0.0,Priority
pytorch,30,1915,1.3781898021697998,"{'avg': 1.1043997446695963, 'p50': 1.1044455766677856, 'p95': 1.1044556021690368, 'p99': 1.1044557094573975}","{'avg': 0.012704167951725484, 'p50': 0.013199041871463552, 'p95': 0.014908193349838257, 'p99': 0.014938506762186686}","{'avg': 1.3245610475540162, 'p50': 1.3287460803985596, 'p95': 1.3781916856765748, 'p99': 1.3791035199165345}",1389.503823773079,0.9999792407189146,1.3781611919403076,2.86102294921875e-05,0,0.0,30,19.233333333333334,1389.503823773079,1.0,31,0.0,0,0,0.0,Composite
