backend,total_requests,total_tokens,total_time,ttft,tpot,latency,throughput,gpu_occupancy,gpu_busy_time,gpu_idle_time,peak_memory,avg_memory,peak_batch_size,avg_batch_size,tokens_per_second,admission_rate,total_steps,kv_memory_utilization,kv_peak_shared_blocks,kv_prefix_cache_hits,kv_prefix_cache_hit_rate
pytorch,20,911,0.8074946403503418,"{'avg': 0.6400563001632691, 'p50': 0.6400645971298218, 'p95': 0.6400702118873596, 'p99': 0.6400703930854797}","{'avg': 0.009714324607239328, 'p50': 0.010356749549056545, 'p95': 0.011987007856369018, 'p99': 0.012076719045639037}","{'avg': 0.762450385093689, 'p50': 0.7590451240539551, 'p95': 0.8078974843025207, 'p99': 0.8083999466896057}",1128.1808627296289,0.9999601402825847,0.8074624538421631,3.218650817871094e-05,931,574.2307692307693,20,11.84,1128.1808627296289,1.0,26,0.0,0,0,0.0
onnx,20,911,0.12141251564025879,"{'avg': 0.014586961269378662, 'p50': 0.014598965644836426, 'p95': 0.014615392684936524, 'p99': 0.014620466232299805}","{'avg': 0.006680677109386417, 'p50': 0.007389926549160119, 'p95': 0.008300831317901613, 'p99': 0.008356676578521727}","{'avg': 0.09730728864669799, 'p50': 0.09954178333282471, 'p95': 0.12213613986968994, 'p99': 0.12229233264923096}",7503.345064517586,0.9998271938041124,0.12139153480529785,2.09808349609375e-05,931,574.2307692307693,20,11.84,7503.345064517586,1.0,26,0.0,0,0,0.0
