run,concurrency,request_id,ok,latency,ttft,tpot,prompt_tokens,completion_tokens,chunks,error
1,1,0,True,0.9150957409874536,0.03035503497812897,0.01404350326998928,191,64,61,
1,1,1,True,0.9167194750043564,0.0316051869885996,0.01404943314310725,191,64,62,
1,1,2,True,0.9066138209891506,0.03134514897828922,0.013893153523981926,191,64,59,
1,1,3,True,0.906167050008662,0.030528403993230313,0.013899026127229075,191,64,61,
1,1,4,True,0.9047850290080532,0.0318489340133965,0.013856128491978679,191,64,61,
1,1,5,True,0.9009088239981793,0.031120785977691412,0.013806159333658538,191,64,62,
1,1,6,True,0.9010998150333762,0.029745962005108595,0.013831013540131233,191,64,59,
1,1,7,True,0.900969498034101,0.03169310698285699,0.013798037953194349,191,64,61,
1,1,8,True,0.9023718429962173,0.030870143964421004,0.013833360302092005,191,64,61,
1,1,9,True,0.9014465780346654,0.03223489603260532,0.013797010825429525,191,64,62,
1,1,10,True,0.8961136369616725,0.03189224295783788,0.013717799904822772,191,64,59,
1,1,11,True,0.8925085290102288,0.030088459025137126,0.01368920746008082,191,64,61,
1,1,12,True,0.8996700319694355,0.030687676975503564,0.013793370714189396,191,64,61,
1,1,13,True,0.9021290149539709,0.03087076498195529,0.013829496031301835,191,64,62,
1,1,14,True,0.9019727879785933,0.031881013012025505,0.013810980555024884,191,64,59,
1,1,15,True,0.9049473180202767,0.030920549004804343,0.01387344077802337,191,64,61,
1,2,0,True,0.9907590780057944,0.05160198698285967,0.014907255413062457,191,64,61,
1,2,1,True,1.0022735350066796,0.05727352702524513,0.015000000126689436,191,64,61,
1,2,2,True,0.9771120129735209,0.03854371898341924,0.014897909428414312,191,64,61,
1,2,3,True,0.9762725079781376,0.0387672699871473,0.014881035523666512,191,64,59,
1,2,4,True,0.9738681190065108,0.03504514502128586,0.014901951968019444,191,64,61,
1,2,5,True,0.9729094119975343,0.03637987497495487,0.01486554820670761,191,64,61,
1,2,6,True,0.9728288659825921,0.035872426989953965,0.014872324428454573,191,64,61,
1,2,7,True,0.9743855600245297,0.03796699602389708,0.014863786730168771,191,64,59,
1,2,8,True,0.9728092169971205,0.03470768401166424,0.014890500523578671,191,64,61,
1,2,9,True,0.9740120940259658,0.03601694403914735,0.014888811904552674,191,64,61,
1,2,10,True,0.9769167930353433,0.037616847024764866,0.014909522952548864,191,64,61,
1,2,11,True,0.9766679519671015,0.03654313297010958,0.014922616174555429,191,64,59,
1,2,12,True,0.9650374660268426,0.035057980043347925,0.014761579142595153,191,64,61,
1,2,13,True,0.9621720249997452,0.03586467099376023,0.014703291333428332,191,64,61,
1,2,14,True,0.9938072490040213,0.033422901993617415,0.015244195984292126,191,64,61,
1,2,15,True,0.9961254899972118,0.03875065001193434,0.015196426031512342,191,64,59,
1,4,0,True,1.0254578960011713,0.051242257992271334,0.015463740285855555,191,64,62,
1,4,1,True,1.0380875100381672,0.0581415620399639,0.015554697587273068,191,64,61,
1,4,2,True,1.0377920520259067,0.0558179069776088,0.015586891191242824,191,64,61,
1,4,3,True,1.035929589997977,0.054026051016990095,0.015585770460015665,191,64,59,
1,4,4,True,1.0180616509751417,0.035589974955655634,0.01559478850824581,191,64,59,
1,4,5,True,1.0332331469981,0.054380134970415384,0.015537349397264835,191,64,61,
1,4,6,True,1.0316911980044097,0.05219124600989744,0.015547618285627179,191,64,61,
1,4,7,True,1.03335997503018,0.051152650034055114,0.015590592460255952,191,64,59,
1,4,8,True,1.0259413640014827,0.04844753601355478,0.015515775047427427,191,64,59,
1,4,9,True,1.0245801999699324,0.05013281397987157,0.015467418825239061,191,64,61,
1,4,10,True,1.0237971940077841,0.0488317150156945,0.015475642523683962,191,64,61,
1,4,11,True,1.0217830860055983,0.04742039198754355,0.015466074508223092,191,64,59,
1,4,12,True,1.0284438909729943,0.047127809026278555,0.015576445745185965,191,64,59,
1,4,13,True,1.028402070980519,0.052468742011114955,0.015491005221736572,191,64,61,
1,4,14,True,1.0268432979937643,0.05067172000417486,0.015494786952215706,191,64,61,
1,4,15,True,1.0260444699670188,0.04989590495824814,0.015494421666805884,191,64,59,
2,1,0,True,0.9179761200211942,0.03238367900485173,0.014057022873275277,191,64,61,
2,1,1,True,0.9294711560360156,0.03232532803667709,0.014240409968243469,191,64,62,
2,1,2,True,0.9309451659792103,0.030680569994729012,0.014289914221975893,191,64,59,
2,1,3,True,0.937206880946178,0.02994132594903931,0.014401040555510138,191,64,61,
2,1,4,True,0.9444824020029046,0.036577361985109746,0.014411191111393568,191,64,61,
2,1,5,True,0.9420012379996479,0.03167364903492853,0.01444964426928126,191,64,62,
2,1,6,True,0.948042091971729,0.03271475702058524,0.01452900531668482,191,64,59,
2,1,7,True,0.9367381070042029,0.033379119995515794,0.01433903153982043,191,64,61,
2,1,8,True,0.9429459599778056,0.032111931999679655,0.014457682983779778,191,64,61,
2,1,9,True,0.9500905149616301,0.03893007495207712,0.014462864127135761,191,64,62,
2,1,10,True,0.9704996090149507,0.0339858690276742,0.014865297460115499,191,64,59,
2,1,11,True,0.9259972519939765,0.032985852973069996,0.01417478411144296,191,64,61,
2,1,12,True,0.9366910490207374,0.031838554015848786,0.014362738015950612,191,64,61,
2,1,13,True,0.9391265949816443,0.03444617602508515,0.014360006650104113,191,64,62,
