run,concurrency,request_id,ok,latency,ttft,tpot,prompt_tokens,completion_tokens,chunks,error
1,1,0,True,5.506946750974748,0.07027758395997807,0.04280841863791158,55,128,127,
1,1,1,True,5.522268593951594,0.06650615995749831,0.042958759322788156,55,128,128,
1,1,2,True,5.528314931027126,0.06943294900702313,0.042983322693071674,55,128,127,
1,1,3,True,5.553257227002177,0.06421489600325003,0.04322080575589707,55,128,127,
1,1,4,True,5.543607653002255,0.06853790901368484,0.04311078538573677,55,128,128,
1,1,5,True,5.677125537011307,0.06348188599804416,0.044201918511915454,55,128,127,
1,1,6,True,5.56280950200744,0.06590465898625553,0.0432827152993794,55,128,127,
1,1,7,True,5.590224374027457,0.06830866500968114,0.043479651252108474,55,128,127,
1,1,8,True,5.450487316004001,0.06796182499965653,0.04238209048034917,55,128,127,
1,1,9,True,5.134629538981244,0.060028642998076975,0.0399574873699462,55,128,127,
1,1,10,True,5.22070663003251,0.05855437403079122,0.04064686815749385,56,128,128,
1,1,11,True,5.16224042000249,0.05787544802296907,0.0401918501730671,56,128,128,
1,1,12,True,5.154235377034638,0.057062541018240154,0.04013521918123148,56,128,128,
1,1,13,True,5.129475579014979,0.06374104600399733,0.039887673488275446,56,128,128,
1,1,14,True,5.127915196993854,0.06136124499607831,0.0398941256062817,56,128,128,
1,1,15,True,5.139319021021947,0.06034944701241329,0.03999188640952389,56,128,128,
1,1,16,True,5.134687084006146,0.05820801603840664,0.039972276125730226,56,128,128,
1,1,17,True,5.143808608001564,0.061109696980565786,0.04002125126788187,56,128,128,
1,1,18,True,5.137429811002221,0.05672230297932401,0.04000557092931415,56,128,128,
1,1,19,True,5.386809755000286,0.055119106953497976,0.04198181612635266,56,128,128,
1,2,0,True,5.227329809044022,0.1407621130347252,0.040051714141805486,55,128,127,
1,2,1,True,5.264104087022133,0.1879352440009825,0.03996983340961536,55,128,128,
1,2,2,True,5.17690365499584,0.08275707100983709,0.040111390425086636,55,128,127,
1,2,3,True,5.175880511989817,0.08419260598020628,0.04009203075598119,55,128,127,
1,2,4,True,5.177127547038253,0.08275804203003645,0.040113145708726115,55,128,127,
1,2,5,True,5.177564064972103,0.08586917398497462,0.040092085755804155,55,128,127,
1,2,6,True,5.19943046499975,0.08289020200027153,0.04028771860629511,55,128,127,
1,2,7,True,5.204324734047987,0.08514217199990526,0.040308524110614814,55,128,127,
