variant,rank,name,count,total_ms,avg_us
bf16,1,aten::copy_,1160,70.08891700000005,60.42148017241383
bf16,2,aten::to,778,63.826075,82.03865681233934
bf16,3,aten::_to_copy,517,60.164277000000034,116.37190909090916
bf16,4,aten::index,128,26.098591000000006,203.89524218750006
bf16,5,aten::slice,2886,17.19162500000001,5.956904019404022
bf16,6,aten::index_put_,64,15.497061999999998,242.14159374999997
bf16,7,aten::fill_,577,15.435569000000001,26.751419410745235
bf16,8,aten::_index_put_impl_,64,14.965276999999997,233.83245312499994
bf16,9,aten::empty_strided,673,11.180724999999995,16.613261515601774
bf16,10,aten::linear,64,9.483951999999997,148.18674999999996
bf16,11,aten::zeros,128,8.407247999999997,65.68162499999998
bf16,12,aten::matmul,64,7.793098,121.76715625
bf16,13,aten::mm,64,7.4213150000000025,115.95804687500004
bf16,14,aten::gt,128,7.359838000000002,57.49873437500001
bf16,15,vllm::unified_attention_with_output,28,7.053203,251.90010714285714
bf16,16,aten::scatter_add_,128,6.903597000000001,53.93435156250001
bf16,17,aten::add,192,6.091004,31.723979166666666
bf16,18,aten::argmax,64,6.082739999999998,95.04281249999997
bf16,19,aten::ones_like,128,5.970395000000001,46.6437109375
bf16,20,aten::zero_,129,5.928924999999999,45.96065891472867
awq_int4,1,aten::copy_,1160,111.56511000000023,96.17681896551744
awq_int4,2,aten::to,778,102.0024870000001,131.10859511568137
awq_int4,3,aten::_to_copy,517,97.89411800000008,189.35032495164424
awq_int4,4,aten::index,128,64.43653899999998,503.41046093749986
awq_int4,5,aten::slice,2886,19.813095,6.865244282744283
awq_int4,6,aten::fill_,577,18.03928000000001,31.26391681109187
awq_int4,7,aten::index_put_,64,16.608029,259.500453125
awq_int4,8,aten::_index_put_impl_,64,16.005877,250.09182812500003
awq_int4,9,aten::empty_strided,673,11.248856000000007,16.71449628528976
awq_int4,10,aten::zeros,128,10.612817999999999,82.912640625
awq_int4,11,aten::linear,64,10.200497,159.38276562500002
awq_int4,12,aten::matmul,64,8.521564999999997,133.14945312499995
awq_int4,13,aten::mm,64,8.051566999999999,125.80573437499999
awq_int4,14,aten::gt,128,7.424593,58.0046328125
awq_int4,15,aten::scatter_add_,128,7.339518,57.339984375
awq_int4,16,aten::add,192,7.284173999999997,37.93840624999998
awq_int4,17,aten::argmax,64,6.826185000000004,106.65914062500006
awq_int4,18,aten::zero_,129,6.756927999999999,52.37928682170542
awq_int4,19,aten::ones_like,128,6.2224129999999995,48.6126015625
awq_int4,20,aten::mul,128,5.972636999999999,46.66122656249999
awq_marlin,1,aten::copy_,1160,70.07563399999992,60.410029310344754
awq_marlin,2,aten::to,778,49.930333999999945,64.17780719794337
awq_marlin,3,aten::_to_copy,517,47.021027,90.94976208897485
awq_marlin,4,aten::scatter_add_,128,39.59951600000001,309.3712187500001
awq_marlin,5,aten::index,128,25.367246999999995,198.18161718749997
awq_marlin,6,aten::slice,2886,24.657963999999982,8.543993069993064
awq_marlin,7,aten::index_put_,64,19.34310900000001,302.2360781250001
awq_marlin,8,aten::fill_,577,18.75931300000001,32.51180762564993
awq_marlin,9,aten::_index_put_impl_,64,18.385803000000006,287.2781718750001
awq_marlin,10,aten::linear,64,12.211190999999998,190.79985937499995
awq_marlin,11,aten::matmul,64,10.444549,163.196078125
awq_marlin,12,aten::mm,64,10.043380999999998,156.92782812499996
awq_marlin,13,aten::empty_strided,673,9.54643900000001,14.184901931649346
awq_marlin,14,vllm::unified_attention_with_output,28,8.906528,318.0902857142857
awq_marlin,15,aten::add,192,8.401928999999999,43.76004687499999
awq_marlin,16,aten::gt,128,8.272655,64.6301171875
awq_marlin,17,aten::zeros,128,8.128372999999998,63.50291406249999
awq_marlin,18,aten::ones_like,128,7.4387370000000015,58.115132812500015
awq_marlin,19,aten::as_strided,3911,6.986899000000031,1.7864737918690952
awq_marlin,20,aten::argmax,64,6.871884,107.3731875
