run,concurrency,request_id,ok,latency,ttft,tpot,prompt_tokens,completion_tokens,chunks,error
1,1,0,True,0.9004464310128242,0.05503721203422174,0.013419193952041308,191,64,61,
1,1,1,True,0.821717509010341,0.04886420600814745,0.012267512746066564,191,64,62,
1,1,2,True,0.8206891620066017,0.04795201797969639,0.01226566895280802,191,64,59,
1,1,3,True,0.8208176959888078,0.04904349095886573,0.012250384206824477,191,64,61,
1,1,4,True,0.8210829119780101,0.048661101958714426,0.01226066365109993,191,64,61,
1,1,5,True,0.8209957720246166,0.048088283045217395,0.012268372840942844,191,64,62,
1,1,6,True,0.8205147580010816,0.047620330995414406,0.012268165508026464,191,64,59,
1,1,7,True,0.8215342729818076,0.04985013703117147,0.012248954538898986,191,64,61,
1,1,8,True,0.820733665022999,0.047891299007460475,0.012267339143103786,191,64,61,
1,1,9,True,0.8213312870357186,0.048848471022211015,0.012261632000214405,191,64,62,
1,1,10,True,0.8228825830155984,0.04838527803076431,0.012293608015632286,191,64,59,
1,1,11,True,0.8228422000538558,0.05047961603850126,0.012259723555799278,191,64,61,
1,1,12,True,0.8225123610463925,0.048486821993719786,0.01228611966750274,191,64,61,
1,1,13,True,0.8219936009845696,0.0477611199603416,0.012289404460702032,191,64,62,
1,1,14,True,0.8214464280172251,0.047732866019941866,0.012281167650750527,191,64,59,
1,1,15,True,0.8231548049952835,0.04809336003381759,0.012302562618435967,191,64,61,
1,2,0,True,0.9369211869779974,0.06665847898693755,0.01381369377763587,191,64,62,
1,2,1,True,0.9455373929813504,0.0960015970049426,0.013484695174228695,191,64,61,
1,2,2,True,0.9347247030236758,0.05472022801404819,0.013968325000152819,191,64,59,
1,2,3,True,0.9351187330321409,0.08301244501490146,0.013525496635194277,191,64,59,
1,2,4,True,0.923841135983821,0.051232084981165826,0.013850937317502462,191,64,61,
1,2,5,True,0.9414225579821505,0.09193844499532133,0.013483874809314749,191,64,61,
1,2,6,True,0.9324969940353185,0.062187256990000606,0.0138144402705606,191,64,59,
1,2,7,True,0.9275588289601728,0.08424771798308939,0.013385890650429897,191,64,59,
1,2,8,True,0.9319997869897634,0.061539833957795054,0.013816824651301084,191,64,61,
1,2,9,True,0.9327721280278638,0.08798534999368712,0.013409313937050424,191,64,61,
1,2,10,True,0.9316174170235172,0.061599645006936044,0.013809805905025098,191,64,59,
1,2,11,True,0.9317119679762982,0.08720325899776071,0.013404900142516468,191,64,59,
1,2,12,True,0.9337981219869107,0.06260550901060924,0.013828454174227007,191,64,61,
1,2,13,True,0.9333516120095737,0.08821633702609688,0.013414845634658362,191,64,61,
1,2,14,True,0.9338174830190837,0.06085958698531613,0.013856474540218534,191,64,59,
1,2,15,True,0.9332352469791658,0.08829156897263601,0.013411804412802061,191,64,59,
1,4,0,True,0.9975345460115932,0.06673325097654015,0.014774623730715128,191,64,61,
1,4,1,True,1.0084874109597877,0.14823562098899856,0.013654790316996653,191,64,62,
1,4,2,True,1.008380748971831,0.1469479149673134,0.013673537047690757,191,64,61,
1,4,3,True,1.0064696940244175,0.14484950102632865,0.013676510999969665,191,64,61,
1,4,4,True,0.9899258030345663,0.05211814399808645,0.014885835857721902,191,64,61,
1,4,5,True,1.0040369350463152,0.14354257204104215,0.013658640682623381,191,64,62,
1,4,6,True,1.0036629150272347,0.14186272502411157,0.01367936809528767,191,64,61,
1,4,7,True,1.0028753679944202,0.14067739300662652,0.013685682142663393,191,64,61,
1,4,8,True,1.0020693779806606,0.06442330498248339,0.014883270999971068,191,64,61,
1,4,9,True,1.0052867259946652,0.1401683579897508,0.013732037587379594,191,64,62,
1,4,10,True,1.0058077520225197,0.1387152110110037,0.01376337366684946,191,64,61,
1,4,11,True,1.0049714570050128,0.13784595904871821,0.013763896792957057,191,64,61,
1,4,12,True,1.0012741890386678,0.06370399805018678,0.014882066523626683,191,64,61,
1,4,13,True,0.9983018699567765,0.13757172197801992,0.013662383301250105,191,64,62,
1,4,14,True,0.9965421800152399,0.13577918900409713,0.013662904619224488,191,64,61,
1,4,15,True,0.9955066759721376,0.13465582596836612,0.013664299206409072,191,64,61,
2,1,0,True,0.8256978759891354,0.049960240023210645,0.012313295808982931,191,64,61,
2,1,1,True,0.8248020060127601,0.05009252100717276,0.01229697595246964,191,64,62,
2,1,2,True,0.8262588510406204,0.048567612015176564,0.01234430538135625,191,64,59,
2,1,3,True,0.8242576039629057,0.049721943971235305,0.01229421682526461,191,64,61,
2,1,4,True,0.8281502799945883,0.04943910497240722,0.012360494841621923,191,64,61,
2,1,5,True,0.8472519420320168,0.054841859033331275,0.012577937825375961,191,64,62,
2,1,6,True,0.8282553810277022,0.04921196401119232,0.012365768524071586,191,64,59,
2,1,7,True,0.829705333977472,0.05145440297201276,0.012353189381039036,191,64,61,
2,1,8,True,0.8302757249912247,0.05096926400437951,0.012369943825188018,191,64,61,
2,1,9,True,0.8259747080155648,0.050002037023659796,0.012317026523681033,191,64,62,
2,1,10,True,0.8277377689955756,0.04996464401483536,0.012345605158424448,191,64,59,
2,1,11,True,0.8378833949682303,0.053116789960768074,0.012456612777896225,191,64,61,
2,1,12,True,0.8351432909839787,0.051943261991254985,0.012431746491947995,191,64,61,
2,1,13,True,0.8381054439814761,0.05350898503093049,0.012453912046834058,191,64,62,
2,1,14,True,0.8348757440107875,0.051921795995440334,0.01242784044468805,191,64,59,
