run,concurrency,requests,warmup,prompt_type,prompt_mode,max_tokens,success,failed,error_rate,wall_time,throughput,tokens_per_second,avg_prompt_tokens,avg_completion_tokens,p50_latency,p95_latency,p50_ttft,p95_ttft,p50_tpot,p95_tpot,usage_complete,first_error
1,1,16,3,long,shared_prefix,64,16,0,0.0,13.228467904031277,1.2095127051806294,77.40881313156028,191,64,0.8214903504995164,0.8424777114996687,0.04843605001224205,0.05161901503743138,0.012267839127046515,0.012581720451837303,True,
1,2,16,3,long,shared_prefix,64,16,0,0.0,7.485083184030373,2.13758479453327,136.8054268501293,191,64,0.9332934294943698,0.9424512667319505,0.0748354620009195,0.09295423299772665,0.013667651270109688,0.013884437155202106,True,
1,4,16,3,long,shared_prefix,64,16,0,0.0,4.02055462700082,3.979550456185541,254.69122919587463,191,64,1.0032691415108275,1.0084074144688202,0.13828058502986096,0.1472698414727347,0.013682525118975532,0.014883912214408776,True,
2,1,16,3,long,shared_prefix,64,16,0,0.0,13.301589940965641,1.2028637231346244,76.98327828061596,191,64,0.8289803575025871,0.8403920684941113,0.05053089250577614,0.053842203531530686,0.012363131682846754,0.012486944039766159,True,
2,2,16,3,long,shared_prefix,64,16,0,0.0,7.862648775975686,2.0349376470799485,130.2360094131167,191,64,0.9802191490016412,1.0085378122603288,0.0710679939656984,0.09196593645901885,0.014477334778001977,0.015048283674534308,True,
2,4,16,3,long,shared_prefix,64,16,0,0.0,4.360494012013078,3.669309017721457,234.83577713417324,191,64,1.0846971729770303,1.0984719214902725,0.15247680648462847,0.1659041214734316,0.0150056526906574,0.01623161082176329,True,
3,1,16,3,long,shared_prefix,64,16,0,0.0,14.105889067985117,1.1342780255031055,72.59379363219875,191,64,0.8676166555087548,0.9205219232389936,0.05756653498974629,0.06768927371012978,0.012833753936565554,0.01353908988941897,True,
3,2,16,3,long,shared_prefix,64,16,0,0.0,8.759781358996406,1.8265296066514032,116.8978948256898,191,64,1.0852793679805472,1.1527089714654721,0.09435739801847376,0.10865377602749504,0.015963122825644584,0.01689008022991142,True,
3,4,16,3,long,shared_prefix,64,16,0,0.0,4.9406730579794385,3.2384251724892392,207.2592110393113,191,64,1.2380513710086234,1.247940936780651,0.18952655952307396,0.2165023334819125,0.01629564369056699,0.018354699051881668,True,
