run,concurrency,request_id,ok,latency,ttft,tpot,prompt_tokens,completion_tokens,chunks,error
1,1,0,True,0.8486374539934332,0.037679592991480604,0.006385494968519311,55,128,127,
1,1,1,True,0.8381180220021633,0.023216550005599856,0.006416547023594988,55,128,128,
1,1,2,True,0.8459802809957182,0.02290547199663706,0.006480904007866781,55,128,127,
1,1,3,True,0.8346772399963811,0.02442347799660638,0.00637995088188799,55,128,127,
1,1,4,True,0.8368785069906153,0.02381737199903,0.006402056181036104,55,128,127,
1,1,5,True,0.838136760998168,0.02263609199144412,0.006421265110289165,55,128,127,
1,1,6,True,0.8461502370046219,0.03388656700553838,0.006395776929126642,55,128,127,
1,1,7,True,0.8412232249975204,0.02970640899729915,0.00638989618897812,55,128,127,
1,1,8,True,0.8637636829953408,0.02902960700157564,0.006572709259793427,55,128,127,
1,1,9,True,0.8416120219917502,0.025230667990399525,0.006428199637805911,55,128,127,
1,1,10,True,0.8611918189999415,0.022747579001588747,0.006601923149593328,56,128,128,
1,1,11,True,0.8594354609958827,0.0323526559950551,0.00651246303150258,56,128,128,
1,1,12,True,0.8545006469939835,0.02489753600093536,0.006532307960575182,56,128,128,
1,1,13,True,0.85459494398674,0.021739052986958995,0.006557920401573079,56,128,128,
1,1,14,True,0.859871197011671,0.025003381000715308,0.0065737623307949265,56,128,128,
1,1,15,True,0.8450746849994175,0.023634034005226567,0.006468036622001503,56,128,128,
1,1,16,True,0.8680293380020885,0.021300405001966283,0.006667156952756868,56,128,128,
1,1,17,True,0.8611808610003209,0.023362042993539944,0.006596998566982527,56,128,128,
1,1,18,True,0.8635075530037284,0.02777627800242044,0.00658056122048274,56,128,128,
1,1,19,True,0.8886588909954298,0.03250255199964158,0.006741388496029828,56,128,128,
1,2,0,True,0.981868207003572,0.1347003679984482,0.006670612905552156,55,128,127,
1,2,1,True,0.985519021996879,0.13962622999679297,0.006660573165355008,55,128,128,
1,2,2,True,0.8976525030011544,0.03827663901029155,0.006766739086542227,55,128,127,
1,2,3,True,0.8973530729999766,0.038309611001750454,0.006764121748017529,55,128,127,
1,2,4,True,0.8835307910048869,0.030899282995960675,0.006713633921330128,55,128,127,
1,2,5,True,0.8833369159983704,0.029176787997130305,0.006725670299222363,55,128,127,
1,2,6,True,0.8904706220055232,0.03514613999868743,0.006734838440998707,55,128,127,
1,2,7,True,0.8920758999884129,0.03515869099646807,0.00674737959836177,55,128,127,
1,2,8,True,0.8965601560048526,0.04975436000677291,0.006667762173213226,55,128,127,
1,2,9,True,0.895277065996197,0.05265724800119642,0.006634801716496068,55,128,127,
1,2,10,True,0.8769109610002488,0.03179833300237078,0.006654430141715575,56,128,128,
1,2,11,True,0.8775438629963901,0.031047886004671454,0.006665322653478099,56,128,128,
1,2,12,True,0.895787430999917,0.03103554100380279,0.006809069999969403,56,128,128,
1,2,13,True,0.8961922260059509,0.031079581007361412,0.006811910590540075,56,128,128,
1,2,14,True,0.9008305890019983,0.033980476000579074,0.006825591440956057,56,128,128,
1,2,15,True,0.9005767820053734,0.03340074900188483,0.006828157740184949,56,128,128,
1,2,16,True,0.8998339370009489,0.03064455999992788,0.006844010842527725,56,128,128,
1,2,17,True,0.8990030790009769,0.02954310498898849,0.006846141527653452,56,128,128,
1,2,18,True,0.9057337780104717,0.036912405004841276,0.00684111317327268,56,128,128,
1,2,19,True,0.9065405820001615,0.0371725949953543,0.006845417220510293,56,128,128,
1,4,0,True,0.9290971710142912,0.0524780150008155,0.006902513039476187,55,128,127,
1,4,1,True,0.9194241639925167,0.044186911996803246,0.0068916319054780585,55,128,128,
1,4,2,True,0.9231930120004108,0.04937081699608825,0.006880489724443484,55,128,127,
1,4,3,True,0.9224622010078747,0.04759645400918089,0.006888706669281054,55,128,127,
1,4,4,True,0.9483853929996258,0.03769082299550064,0.007170823385859253,55,128,127,
