run,concurrency,requests,warmup,prompt_type,prompt_mode,max_tokens,success,failed,error_rate,wall_time,throughput,tokens_per_second,avg_prompt_tokens,avg_completion_tokens,p50_latency,p95_latency,p50_ttft,p95_ttft,p50_tpot,p95_tpot,usage_complete,first_error
1,1,20,3,medium,unique,128,20,0,0.0,17.057201877993066,1.1725252560798782,150.0832327782244,55.5,128,0.8515690504937083,0.8690608156517555,0.02466050699877087,0.034076218304835496,0.00649668351968468,0.006670868529920515,True,
1,2,20,3,medium,unique,128,20,0,0.0,9.03722075499536,2.213069763615647,283.27292974280283,55.5,128,0.8969566145024146,0.9820507477532373,0.03456330799963325,0.13494666109836545,0.0067557506731896495,0.00684545343586745,True,
1,4,20,3,medium,unique,128,20,0,0.0,4.7410130350035615,4.218507701273379,539.9689857629925,55.5,128,0.9478786394975032,0.9805243546004931,0.0378061519950279,0.04952617689632462,0.007181545283462518,0.0073691450740489385,True,
2,1,20,3,medium,unique,128,20,0,0.0,20.501302834993112,0.9755477571826581,124.87011291938023,55.5,128,1.0393431190095725,1.1139154987969961,0.03175055699830409,0.04533459949452663,0.007872477669315137,0.008492194976368654,True,
2,2,20,3,medium,unique,128,20,0,0.0,11.342904301011004,1.7632168507511239,225.69175689614386,55.5,128,1.1316532804921735,1.2342102569440614,0.0528526499911095,0.08493215069975123,0.008456519897649062,0.009269244435460327,True,
2,4,20,3,medium,unique,128,20,0,0.0,5.616784728001221,3.560756014075897,455.7767698017148,55.5,128,1.1221683969997684,1.1424854045537358,0.04553174300235696,0.06326403629936976,0.00845877998023831,0.00868400405190874,True,
3,1,20,3,medium,unique,128,20,0,0.0,21.098671293002553,0.9479269913377468,121.3346548912316,55.5,128,1.0502477914997144,1.1022246842927417,0.028872101494926028,0.0451223852505791,0.008005484933064293,0.00833671767165262,True,
3,2,20,3,medium,unique,128,20,0,0.0,11.279608976998134,1.7731111105699555,226.9582221529543,55.5,128,1.0990975650056498,1.396282770351536,0.04801293649506988,0.0697557050625619,0.008300353196877198,0.010680177290939934,True,
3,4,20,3,medium,unique,128,20,0,0.0,5.694444555992959,3.5121950531508044,449.56096680330296,55.5,128,1.1519666234962642,1.1573903378870454,0.05910493850387866,0.06382194510515547,0.008589999295308669,0.008790232569671796,True,
