backend,seq_len,batch_size,num_heads,head_dim,dtype,causal,success,latency_ms,p50_ms,p95_ms,peak_memory_mib,max_abs_diff_vs_math,error
math,128,1,8,64,fp16,True,True,0.4252224020659924,0.38201600313186646,0.7590911865234377,10.81396484375,0.0,
flash,128,1,8,64,fp16,True,True,0.07541759982705117,0.0721920020878315,0.14648319780826569,9.1298828125,0.0009765625,
math,256,1,8,64,fp16,True,True,0.5093375995755196,0.463359996676445,0.7444991916418076,16.00244140625,0.0,
flash,256,1,8,64,fp16,True,True,0.10439680069684983,0.1080319993197918,0.15206400603055953,10.1337890625,0.0009765625,
math,512,1,8,64,fp16,True,True,0.812390398979187,0.7582719922065735,1.031833565235138,33.37939453125,0.0,
flash,512,1,8,64,fp16,True,True,0.1510399978607893,0.14284799993038177,0.19788799956440928,12.1416015625,0.0009765625,
math,1024,1,8,64,fp16,True,True,2.4053759932518006,2.268671989440918,2.553497660160067,96.63330078125,0.0,
flash,1024,1,8,64,fp16,True,True,0.3000320002436638,0.2969599962234497,0.33623039424419404,16.1572265625,0.0009765625,
